epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.55622,1.20721,1.79001,1.30666,0.79719,0.71007,0.82619,0.60511,0.95101,1.42013,1.07338,0.000551257,0.000551257,0.000551257
2,16.588,0.99003,1.09068,1.17121,0.7489,0.64089,0.7094,0.43825,1.30492,1.31935,1.16841,0.00109596,0.00109596,0.00109596
3,24.6123,0.92638,0.99973,1.14384,0.82358,0.76892,0.88472,0.57355,1.26248,0.89375,1.10862,0.00162967,0.00162967,0.00162967
4,33.6047,0.92403,0.96279,1.14728,0.80302,0.85047,0.8959,0.67061,0.83941,0.80215,1.04702,0.00161749,0.00161749,0.00161749
5,42.3127,0.87987,0.91889,1.13715,0.77267,0.613,0.73972,0.39076,1.70113,1.40398,1.38586,0.00160099,0.00160099,0.00160099
6,51.1479,0.84252,0.85844,1.11467,0.76779,0.77725,0.86169,0.61785,0.94824,0.89751,1.1365,0.00158448,0.00158448,0.00158448
7,59.6905,0.81531,0.84112,1.10107,0.87901,0.80822,0.91499,0.69365,0.8383,0.71539,1.01011,0.00156798,0.00156798,0.00156798
8,68.3891,0.79165,0.81331,1.09006,0.78565,0.7481,0.86563,0.64393,0.85256,0.84539,1.08148,0.00155148,0.00155148,0.00155148
9,76.7139,0.76271,0.78148,1.08075,0.8862,0.8405,0.92978,0.74796,0.67317,0.65559,0.96294,0.00153497,0.00153497,0.00153497
10,85.4573,0.75871,0.78889,1.0803,0.79273,0.8325,0.8771,0.68023,0.78059,0.80815,0.95685,0.00151847,0.00151847,0.00151847
11,94.3035,0.73127,0.76387,1.0675,0.88044,0.84819,0.93864,0.77628,0.64147,0.63343,0.92301,0.00150197,0.00150197,0.00150197
12,103.07,0.7302,0.74994,1.06262,0.80432,0.84335,0.90532,0.62283,1.19398,0.74431,1.08184,0.00148546,0.00148546,0.00148546
13,112.092,0.71343,0.74071,1.05588,0.85369,0.82597,0.9211,0.66738,0.98334,0.72084,1.00585,0.00146896,0.00146896,0.00146896
14,121.371,0.70126,0.72312,1.0551,0.8362,0.83205,0.91854,0.69974,0.89308,0.69165,1.01035,0.00145246,0.00145246,0.00145246
15,130.24,0.67336,0.69673,1.04217,0.89164,0.84118,0.93612,0.73361,0.76909,0.65095,0.97677,0.00143595,0.00143595,0.00143595
16,139.099,0.68256,0.71327,1.04711,0.88505,0.87285,0.94523,0.7624,0.65315,0.60587,0.94652,0.00141945,0.00141945,0.00141945
17,148.025,0.6515,0.69194,1.03626,0.8874,0.86798,0.94246,0.78696,0.63098,0.576,0.92057,0.00140295,0.00140295,0.00140295
18,156.799,0.65512,0.6912,1.03505,0.89559,0.86327,0.95057,0.77429,0.71038,0.59001,0.91933,0.00138644,0.00138644,0.00138644
19,165.424,0.64859,0.6821,1.03478,0.89142,0.82809,0.93857,0.65596,1.18799,0.66373,1.06957,0.00136994,0.00136994,0.00136994
20,174.143,0.66221,0.69116,1.03815,0.8801,0.86545,0.94263,0.76695,0.71389,0.60722,0.93901,0.00135344,0.00135344,0.00135344
21,182.808,0.64099,0.68119,1.02918,0.90485,0.85938,0.94737,0.7518,0.75166,0.5883,0.92634,0.00133693,0.00133693,0.00133693
22,191.533,0.62908,0.66469,1.02721,0.89601,0.86708,0.94316,0.81395,0.53919,0.56593,0.8757,0.00132043,0.00132043,0.00132043
23,200.306,0.63024,0.66096,1.02659,0.90418,0.86853,0.94967,0.82599,0.5206,0.52726,0.90286,0.00130393,0.00130393,0.00130393
24,208.785,0.61983,0.64639,1.01638,0.91603,0.85143,0.94629,0.80058,0.60768,0.57719,0.90294,0.00128742,0.00128742,0.00128742
25,217.328,0.62705,0.65996,1.02252,0.87387,0.88326,0.94744,0.79993,0.58678,0.575,0.90569,0.00127092,0.00127092,0.00127092
26,225.934,0.6065,0.64776,1.01739,0.91087,0.86238,0.95435,0.74194,0.86147,0.57283,0.94524,0.00125442,0.00125442,0.00125442
27,234.757,0.59334,0.63556,1.00867,0.85832,0.81999,0.91642,0.71437,0.78715,0.67712,0.92531,0.00123791,0.00123791,0.00123791
28,243.386,0.60711,0.63428,1.01586,0.90231,0.88392,0.9576,0.81138,0.58287,0.53087,0.88477,0.00122141,0.00122141,0.00122141
29,251.944,0.60237,0.64269,1.01356,0.91864,0.87101,0.96147,0.82225,0.55922,0.51438,0.86856,0.00120491,0.00120491,0.00120491
30,260.872,0.60674,0.64236,1.01829,0.8992,0.87975,0.95703,0.80333,0.60333,0.54508,0.8865,0.0011884,0.0011884,0.0011884
31,269.465,0.58908,0.62101,1.00301,0.91434,0.87758,0.96038,0.84513,0.48463,0.50311,0.86227,0.0011719,0.0011719,0.0011719
32,278.264,0.59301,0.63264,1.01249,0.88203,0.89363,0.95606,0.83642,0.51736,0.51891,0.87254,0.0011554,0.0011554,0.0011554
33,287,0.57788,0.61924,1.00586,0.90905,0.8774,0.95964,0.83881,0.48771,0.50867,0.85752,0.00113889,0.00113889,0.00113889
34,295.935,0.56783,0.60384,0.99905,0.9098,0.86527,0.95572,0.7504,0.80553,0.56939,0.92553,0.00112239,0.00112239,0.00112239
35,304.628,0.56276,0.59649,0.99354,0.89774,0.87957,0.95747,0.84768,0.46286,0.48861,0.85788,0.00110589,0.00110589,0.00110589
36,313.394,0.57459,0.60483,1.00124,0.89797,0.88301,0.96077,0.85257,0.47519,0.49287,0.86034,0.00108938,0.00108938,0.00108938
37,322.09,0.5674,0.60568,0.99572,0.90532,0.87323,0.95501,0.80447,0.62676,0.51954,0.894,0.00107288,0.00107288,0.00107288
38,330.742,0.55129,0.60118,0.99312,0.89828,0.85715,0.94601,0.80953,0.58314,0.53162,0.88156,0.00105638,0.00105638,0.00105638
39,339.408,0.55747,0.59851,0.99872,0.88155,0.90257,0.96066,0.82777,0.52507,0.51344,0.8694,0.00103987,0.00103987,0.00103987
40,348.356,0.54867,0.59878,0.99439,0.90515,0.8975,0.96272,0.8483,0.52488,0.47712,0.85209,0.00102337,0.00102337,0.00102337
41,357.367,0.5398,0.58986,0.98698,0.91026,0.87257,0.95463,0.84302,0.45687,0.53905,0.84423,0.00100687,0.00100687,0.00100687
42,366.627,0.54547,0.5949,0.9916,0.88275,0.86985,0.94222,0.81914,0.51433,0.54517,0.88344,0.000990365,0.000990365,0.000990365
43,375.692,0.55033,0.59866,0.99108,0.91491,0.87305,0.96189,0.85476,0.46508,0.48367,0.84134,0.000973861,0.000973861,0.000973861
44,384.827,0.54235,0.57667,0.98857,0.88904,0.9033,0.96065,0.85324,0.44872,0.47596,0.85379,0.000957358,0.000957358,0.000957358
45,393.852,0.54507,0.59459,0.98815,0.92509,0.87432,0.96243,0.86087,0.46773,0.46069,0.85363,0.000940855,0.000940855,0.000940855
