epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.0013,1.20538,2.11048,1.23585,0.88244,0.84466,0.90041,0.73417,0.85828,1.02039,0.88442,0.00994048,0.00331349,0.00994048,0.00331349,0.00994048,0.00331349,0.00994048,0.00331349
2,56.4155,0.98509,1.04989,1.11075,0.80727,0.84525,0.85346,0.66843,1.05532,1.00766,0.98973,0.0198911,0.00663037,0.0198911,0.00663037,0.0198911,0.00663037,0.0198911,0.00663037
3,80.8001,0.98734,0.985,1.11574,0.7808,0.79244,0.79495,0.57936,1.35467,1.28125,1.10607,0.0297923,0.00993076,0.0297923,0.00993076,0.0297923,0.00993076,0.0297923,0.00993076
4,104.991,0.99127,0.93823,1.12735,0.88759,0.90959,0.91695,0.69058,1.08775,0.81893,0.97109,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,128.83,0.92496,0.86031,1.11201,0.84287,0.81504,0.84934,0.65635,1.18554,0.97643,1.11333,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,152.872,0.88202,0.81541,1.09476,0.89366,0.84071,0.89873,0.75755,0.82175,0.82286,0.92627,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,176.85,0.83318,0.77289,1.08193,0.92794,0.89876,0.94241,0.71514,0.83462,0.66414,0.87955,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,200.944,0.80588,0.73931,1.07039,0.92588,0.906,0.94328,0.78387,0.75655,0.65221,0.90895,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,224.893,0.77683,0.71849,1.06072,0.99311,0.50602,0.63671,0.54576,1.49458,1.98792,1.31501,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,248.759,0.76214,0.70413,1.06125,0.93552,0.92465,0.9635,0.83223,0.71332,0.57912,0.84879,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,272.566,0.74506,0.69225,1.05128,0.91491,0.58484,0.63579,0.50735,1.43673,1.99134,1.32746,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,296.191,0.72436,0.67293,1.04034,0.92319,0.90653,0.9497,0.81642,0.72879,0.59627,0.8481,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,320.082,0.7077,0.66166,1.03528,0.93552,0.91767,0.95089,0.8176,0.73018,0.58499,0.8542,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,344.037,0.70343,0.65704,1.03419,0.94525,0.92505,0.96728,0.84466,0.58518,0.52563,0.79596,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,367.882,0.68724,0.64903,1.03136,0.92937,0.9104,0.94722,0.81799,0.67837,0.60862,0.83196,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,391.644,0.67739,0.6398,1.02586,0.90076,0.79932,0.86119,0.73694,0.80254,0.90444,0.90786,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
17,415.486,0.66758,0.63036,1.02257,0.85381,0.86493,0.89171,0.68611,0.98606,0.88052,0.96988,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
18,439.06,0.66742,0.62607,1.02442,0.90329,0.80986,0.87561,0.7491,0.85902,1.00471,0.93943,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925
19,462.766,0.64864,0.61468,1.01353,0.84076,0.74244,0.81354,0.67302,0.95508,1.14701,1.03485,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
