epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5431,1.32267,2.38741,1.5668,0.81081,0.60237,0.51684,0.3531,1.4547,1.80906,1.67215,0.00053979,0.00053979,0.00053979
2,8.75929,0.88155,1.25867,1.25016,0.82127,0.60303,0.65581,0.44036,1.35061,1.37251,1.47301,0.00108461,0.00108461,0.00108461
3,12.8362,0.7444,1.0288,1.1411,0.81499,0.59776,0.61191,0.46359,1.38097,1.65862,1.29936,0.00161843,0.00161843,0.00161843
4,16.8946,0.69121,0.95613,1.09591,0.81737,0.60991,0.58673,0.42997,1.33782,1.45753,1.50165,0.00161749,0.00161749,0.00161749
5,20.9597,0.6442,0.86276,1.07411,0.74364,0.5813,0.63509,0.49013,0.9455,1.36182,1.11079,0.00160099,0.00160099,0.00160099
6,25.0141,0.60943,0.82848,1.05247,0.80569,0.61751,0.73037,0.5956,0.81964,0.99645,1.02693,0.00158448,0.00158448,0.00158448
7,29.1417,0.55997,0.79215,1.03467,0.82216,0.60565,0.69841,0.49912,1.15361,1.09102,1.24919,0.00156798,0.00156798,0.00156798
8,33.3208,0.53577,0.78229,1.02175,0.84375,0.57999,0.59912,0.45089,1.27966,1.34748,1.35561,0.00155148,0.00155148,0.00155148
9,37.5765,0.54174,0.79646,1.02072,0.80083,0.63134,0.70894,0.53121,1.00114,1.00472,1.11274,0.00153497,0.00153497,0.00153497
10,42.1591,0.50828,0.7544,1.00793,0.80799,0.61499,0.67361,0.59431,0.67874,0.91133,0.90684,0.00151847,0.00151847,0.00151847
11,46.3807,0.49253,0.73125,1.00008,0.82291,0.60303,0.64294,0.4082,1.60892,1.14602,1.71768,0.00150197,0.00150197,0.00150197
12,50.6455,0.48,0.71901,0.99715,0.7552,0.66952,0.76908,0.70296,0.45697,0.81189,0.79526,0.00148546,0.00148546,0.00148546
13,55.0724,0.48768,0.71234,1.00117,0.75576,0.70968,0.78827,0.67655,0.62212,0.83377,0.88511,0.00146896,0.00146896,0.00146896
14,59.8204,0.47139,0.70661,0.9926,0.80336,0.62278,0.72518,0.65039,0.61812,0.90188,0.86658,0.00145246,0.00145246,0.00145246
15,64.2398,0.46479,0.70792,0.99445,0.70717,0.74405,0.78073,0.69628,0.53708,0.82623,0.82344,0.00143595,0.00143595,0.00143595
