epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,368.329,0.57126,0.60927,0.9988,0.90669,0.86346,0.95603,0.82541,0.52584,0.51943,0.8706,0.00144145,0.00144145,0.00144145
43,376.224,0.57149,0.6122,0.99873,0.89556,0.85871,0.93877,0.74146,0.72892,0.5928,0.94303,0.00143595,0.00143595,0.00143595
44,384.287,0.57077,0.59978,1.00005,0.91343,0.88657,0.96179,0.84608,0.47924,0.49776,0.85673,0.00143045,0.00143045,0.00143045
45,392.282,0.5743,0.6107,0.99787,0.87533,0.87604,0.93976,0.58992,1.20953,0.75741,1.11284,0.00142495,0.00142495,0.00142495
46,400.357,0.55549,0.60258,0.9916,0.9151,0.87577,0.9563,0.84761,0.46055,0.5009,0.84051,0.00141945,0.00141945,0.00141945
47,408.66,0.56442,0.59684,0.99272,0.91305,0.88234,0.96048,0.85196,0.45859,0.4808,0.84443,0.00141395,0.00141395,0.00141395
48,416.505,0.55779,0.60143,0.99261,0.91106,0.88295,0.95833,0.74458,0.82845,0.55963,0.92993,0.00140845,0.00140845,0.00140845
49,424.348,0.5729,0.6122,0.999,0.92272,0.88216,0.95957,0.84968,0.43918,0.49257,0.84026,0.00140295,0.00140295,0.00140295
50,432.544,0.54947,0.58951,0.98837,0.91647,0.88338,0.96243,0.85061,0.50185,0.4878,0.85159,0.00139745,0.00139745,0.00139745
51,440.651,0.53455,0.5886,0.98296,0.89898,0.8864,0.95877,0.81267,0.62657,0.51956,0.87618,0.00139195,0.00139195,0.00139195
52,449.377,0.54124,0.57946,0.98731,0.92181,0.87975,0.96221,0.85819,0.45056,0.4976,0.83733,0.00138644,0.00138644,0.00138644
53,457.365,0.54159,0.58289,0.98905,0.9114,0.8908,0.96294,0.84639,0.52132,0.47069,0.84784,0.00138094,0.00138094,0.00138094
54,465.805,0.54099,0.58866,0.98727,0.92392,0.87752,0.96515,0.84874,0.49956,0.48032,0.86327,0.00137544,0.00137544,0.00137544
55,474.795,0.54176,0.59233,0.98506,0.91803,0.88222,0.96668,0.85695,0.46624,0.46004,0.86044,0.00136994,0.00136994,0.00136994
56,483.859,0.53667,0.58309,0.98228,0.91159,0.8982,0.95572,0.84417,0.4917,0.50138,0.83126,0.00136444,0.00136444,0.00136444
57,492.815,0.53544,0.573,0.98526,0.92898,0.89895,0.96655,0.87489,0.42458,0.43602,0.82951,0.00135894,0.00135894,0.00135894
58,501.409,0.53098,0.57355,0.98452,0.90535,0.87939,0.96377,0.85653,0.46802,0.4676,0.84814,0.00135344,0.00135344,0.00135344
59,510.077,0.52185,0.56253,0.98053,0.93363,0.88402,0.96358,0.83297,0.56498,0.51859,0.86595,0.00134794,0.00134794,0.00134794
60,518.821,0.53176,0.56617,0.98384,0.92078,0.88392,0.96366,0.7817,0.76201,0.50581,0.90165,0.00134244,0.00134244,0.00134244
61,527.45,0.51686,0.55643,0.97423,0.9167,0.89949,0.96778,0.8667,0.42963,0.44941,0.84126,0.00133693,0.00133693,0.00133693
62,536.124,0.51871,0.5638,0.97719,0.91839,0.91163,0.97221,0.85578,0.50907,0.45225,0.83567,0.00133143,0.00133143,0.00133143
63,544.666,0.50776,0.55596,0.9716,0.89548,0.89059,0.95699,0.84952,0.46607,0.47736,0.84953,0.00132593,0.00132593,0.00132593
64,553.425,0.50542,0.56175,0.96788,0.91868,0.90239,0.96964,0.876,0.40981,0.44312,0.81336,0.00132043,0.00132043,0.00132043
65,562.4,0.50116,0.55151,0.96594,0.91432,0.90221,0.96877,0.83592,0.47804,0.4749,0.85901,0.00131493,0.00131493,0.00131493
66,571.141,0.50989,0.56665,0.97529,0.92889,0.90606,0.97389,0.87365,0.48242,0.43951,0.82787,0.00130943,0.00130943,0.00130943
67,579.843,0.51296,0.55674,0.97377,0.91923,0.91101,0.97014,0.87186,0.42433,0.4424,0.83378,0.00130393,0.00130393,0.00130393
68,588.619,0.514,0.56002,0.97377,0.92779,0.89986,0.97128,0.86375,0.46162,0.43468,0.82859,0.00129843,0.00129843,0.00129843
69,597.717,0.4952,0.5471,0.97117,0.92833,0.90456,0.97259,0.88268,0.39549,0.41343,0.82607,0.00129293,0.00129293,0.00129293
70,606.651,0.51121,0.54671,0.96761,0.93561,0.89786,0.97317,0.87784,0.4369,0.42357,0.82773,0.00128742,0.00128742,0.00128742
71,615.404,0.50583,0.54846,0.96703,0.92664,0.90816,0.97337,0.86864,0.46148,0.4293,0.84082,0.00128192,0.00128192,0.00128192
72,624.037,0.5037,0.54231,0.96607,0.92841,0.88308,0.96474,0.8494,0.48206,0.47777,0.85467,0.00127642,0.00127642,0.00127642
