epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.79973,1.20721,1.79001,1.30666,0.79719,0.71007,0.82619,0.60511,0.95101,1.42013,1.07338,0.000551257,0.000551257,0.000551257
2,17.0077,0.95404,1.06203,1.15052,0.69353,0.7577,0.7955,0.54862,1.04854,1.08819,1.0766,0.000887752,0.000887752,0.000887752
3,26.758,0.87102,0.95867,1.11508,0.80239,0.84491,0.89945,0.64426,1.01918,0.85616,1.0299,0.0010042,0.0010042,0.0010042
4,36.3232,0.82419,0.89905,1.10104,0.81291,0.78124,0.86508,0.65164,0.83399,0.90574,1.05465,0.000676802,0.000676802,0.000676802
5,45.8477,0.7413,0.82034,1.06733,0.87891,0.86382,0.94032,0.76028,0.66914,0.64091,0.92206,0.000346736,0.000346736,0.000346736
