epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,185.126,0.67918,0.531,1.01714,0.95872,0.82604,0.92129,0.69087,0.86359,0.56554,0.89364,0.00139635,0.00139635,0.00139635
43,189.389,0.68837,0.51633,1.0208,0.94968,0.86443,0.94615,0.67177,1.037,0.59197,0.92938,0.00138974,0.00138974,0.00138974
44,193.74,0.67592,0.51788,1.01717,0.8886,0.74765,0.85495,0.55066,1.27877,0.79674,1.05719,0.00138314,0.00138314,0.00138314
45,198.189,0.7151,0.52366,1.02343,0.93332,0.86891,0.9526,0.73189,0.78818,0.51933,0.87309,0.00137654,0.00137654,0.00137654
46,202.671,0.68883,0.51882,1.01194,0.0521,0.08289,0.01785,0.00451,3.43777,4.65439,3.41335,0.00136994,0.00136994,0.00136994
47,206.88,0.67446,0.50791,1.01599,0.96229,0.83065,0.91621,0.64333,1.07794,0.61941,0.93741,0.00136334,0.00136334,0.00136334
48,211.263,0.69719,0.52334,1.01431,0.95602,0.86073,0.94284,0.53744,1.55169,0.68715,1.16522,0.00135674,0.00135674,0.00135674
49,215.627,0.67398,0.51064,1.01656,0.95825,0.86342,0.94646,0.69051,0.9914,0.58276,0.93343,0.00135014,0.00135014,0.00135014
50,219.788,0.65858,0.5,1.00906,0.64827,0.64447,0.67026,0.35087,1.58302,1.43762,1.3,0.00134354,0.00134354,0.00134354
51,224.252,0.69648,0.52596,1.02454,0.95954,0.81966,0.89684,0.54208,1.47703,0.72832,1.10566,0.00133693,0.00133693,0.00133693
52,228.809,0.66781,0.51545,1.01411,0.88834,0.77953,0.82299,0.36703,1.82618,1.0885,1.35758,0.00133033,0.00133033,0.00133033
53,233.262,0.66153,0.5009,1.01456,0.95053,0.89195,0.96512,0.74136,0.82366,0.46657,0.87025,0.00132373,0.00132373,0.00132373
54,237.525,0.65219,0.49627,1.00578,0.52805,0.48658,0.5119,0.3558,1.01701,1.31587,1.04375,0.00131713,0.00131713,0.00131713
55,241.845,0.65141,0.50803,1.00719,0.95107,0.86141,0.94548,0.69296,1.02102,0.57166,0.93308,0.00131053,0.00131053,0.00131053
56,246.266,0.6454,0.49115,1.00398,0.95959,0.81277,0.90277,0.72553,0.71808,0.56716,0.84427,0.00130393,0.00130393,0.00130393
57,250.736,0.64583,0.49142,1.00213,0.94271,0.8849,0.96295,0.65974,1.11658,0.55804,0.96376,0.00129733,0.00129733,0.00129733
58,255.261,0.64842,0.49279,1.00484,0.93482,0.89999,0.96303,0.75012,0.799,0.5023,0.85086,0.00129072,0.00129072,0.00129072
59,259.437,0.63426,0.49763,1.00562,0.96129,0.85822,0.93001,0.70706,0.89932,0.55187,0.89039,0.00128412,0.00128412,0.00128412
60,263.74,0.63367,0.49569,1.00031,0.7219,0.72617,0.79243,0.53636,1.11246,0.97485,1.07293,0.00127752,0.00127752,0.00127752
61,268.278,0.61834,0.48305,0.99685,0.95467,0.89038,0.97188,0.74624,0.82075,0.48733,0.85714,0.00127092,0.00127092,0.00127092
62,272.479,0.62541,0.47163,0.9973,0.96886,0.85617,0.96147,0.79718,0.66932,0.45303,0.83503,0.00126432,0.00126432,0.00126432
63,276.927,0.63358,0.49035,1.00501,0.8968,0.71242,0.8286,0.55842,1.1962,0.81735,1.02633,0.00125772,0.00125772,0.00125772
64,281.086,0.63757,0.4949,1.00242,0.93841,0.85067,0.92033,0.64885,1.12145,0.64218,0.93987,0.00125112,0.00125112,0.00125112
65,285.293,0.65092,0.49797,1.00772,0.9433,0.88205,0.95646,0.70287,1.00545,0.52959,0.87281,0.00124452,0.00124452,0.00124452
66,289.701,0.64811,0.48742,0.99944,0.91643,0.85376,0.93746,0.65262,1.04873,0.61716,0.98239,0.00123791,0.00123791,0.00123791
67,294.072,0.64469,0.49116,1.00087,0.94,0.89894,0.97098,0.76724,0.75277,0.49976,0.83285,0.00123131,0.00123131,0.00123131
68,298.595,0.60794,0.47297,0.98964,0.95954,0.84463,0.95202,0.70387,0.82925,0.55016,0.89225,0.00122471,0.00122471,0.00122471
69,303.081,0.62966,0.48382,0.99833,0.95413,0.83356,0.90291,0.68875,0.9143,0.63372,0.8997,0.00121811,0.00121811,0.00121811
70,307.317,0.62991,0.47973,1.00021,0.96842,0.86428,0.94261,0.79133,0.59812,0.46943,0.81871,0.00121151,0.00121151,0.00121151
