epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5792,1.09279,1.64471,1.18608,0.90375,0.80671,0.86928,0.65061,1.04589,1.14757,0.97429,0.000551698,0.000551698,0.000551698
2,32.3048,0.94849,0.95444,1.13373,0.89679,0.857,0.91099,0.70664,0.93578,0.85506,0.92999,0.0010964,0.0010964,0.0010964
3,47.6938,0.90749,0.84522,1.12325,0.81488,0.79564,0.82519,0.6309,1.1653,1.0183,1.07597,0.0016301,0.0016301,0.0016301
4,63.3253,0.8927,0.798,1.1123,0.79066,0.81458,0.81357,0.67866,0.89523,0.97771,0.92847,0.00161749,0.00161749,0.00161749
5,79.0827,0.84265,0.73568,1.10069,0.89331,0.89732,0.92634,0.75356,0.78739,0.72664,0.86843,0.00160099,0.00160099,0.00160099
6,94.4124,0.81806,0.70514,1.0858,0.59444,0.50457,0.50739,0.39309,1.97422,3.10349,1.8908,0.00158448,0.00158448,0.00158448
7,109.935,0.78223,0.67183,1.07143,0.92687,0.92752,0.95439,0.80369,0.70511,0.58151,0.80344,0.00156798,0.00156798,0.00156798
8,125.588,0.75815,0.64686,1.06271,0.9306,0.93226,0.96764,0.78712,0.81317,0.55073,0.83189,0.00155148,0.00155148,0.00155148
9,141.383,0.74255,0.61086,1.05514,0.89816,0.86707,0.92617,0.77945,0.80383,0.68506,0.89093,0.00153497,0.00153497,0.00153497
10,156.973,0.72926,0.61267,1.05122,0.91477,0.90913,0.94593,0.77783,0.78733,0.69795,0.85786,0.00151847,0.00151847,0.00151847
11,172.982,0.72039,0.59282,1.05119,0.94656,0.93434,0.97111,0.82574,0.68381,0.51337,0.82659,0.00150197,0.00150197,0.00150197
12,188.695,0.69997,0.57806,1.04586,0.94809,0.93442,0.97409,0.83906,0.71015,0.47439,0.81601,0.00148546,0.00148546,0.00148546
13,204.211,0.70686,0.57816,1.04463,0.93814,0.94301,0.97733,0.86324,0.61697,0.45624,0.79231,0.00146896,0.00146896,0.00146896
14,219.88,0.68521,0.56409,1.04128,0.85042,0.81046,0.81881,0.6821,0.8325,0.892,0.92941,0.00145246,0.00145246,0.00145246
15,235.649,0.67928,0.56424,1.03285,0.94677,0.90856,0.96631,0.84965,0.592,0.49107,0.8018,0.00143595,0.00143595,0.00143595
16,251.552,0.66058,0.54612,1.02366,0.93571,0.92591,0.96367,0.80783,0.80414,0.52085,0.82184,0.00141945,0.00141945,0.00141945
17,267.126,0.65014,0.52909,1.02095,0.9203,0.87741,0.94367,0.82422,0.61919,0.58407,0.79051,0.00140295,0.00140295,0.00140295
18,282.717,0.64086,0.52964,1.02001,0.94544,0.92642,0.97418,0.75329,0.95647,0.51331,0.87316,0.00138644,0.00138644,0.00138644
19,298.39,0.64867,0.53198,1.01881,0.94914,0.94128,0.97792,0.87298,0.52475,0.44625,0.76252,0.00136994,0.00136994,0.00136994
