epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,736.52,0.58328,0.56886,0.99432,0.93211,0.92795,0.96625,0.85561,0.58646,0.51118,0.80636,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,761.414,0.58094,0.56355,0.9937,0.90516,0.83005,0.87511,0.75411,0.78466,0.8126,0.96823,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,786.206,0.58234,0.56405,0.99088,0.7446,0.79565,0.79033,0.61525,1.05195,1.05841,1.0605,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,810.717,0.57027,0.55561,0.99095,0.95476,0.93875,0.97682,0.89113,0.49604,0.44797,0.76015,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,835.205,0.57272,0.55944,0.9904,0.9261,0.91031,0.95153,0.83362,0.6501,0.58495,0.85207,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,859.614,0.55881,0.55457,0.98632,0.93565,0.91732,0.95822,0.83133,0.70822,0.52438,0.85594,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,884.73,0.56157,0.54918,0.98106,0.95229,0.93975,0.9767,0.8958,0.48779,0.44844,0.76073,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,909.331,0.56115,0.54938,0.98472,0.94653,0.92501,0.97007,0.87916,0.51902,0.4833,0.76275,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,935.254,0.55618,0.54258,0.98409,0.95067,0.9347,0.96987,0.8531,0.57339,0.48041,0.78283,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,960.458,0.54951,0.54428,0.97921,0.95189,0.93462,0.97457,0.87911,0.55587,0.46597,0.77119,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,985.159,0.54715,0.547,0.97804,0.94767,0.93397,0.9714,0.89121,0.4775,0.45958,0.77558,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1009.84,0.53475,0.53088,0.97344,0.96084,0.93355,0.97681,0.89731,0.46351,0.43333,0.75223,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1035.16,0.54453,0.53657,0.97877,0.95239,0.93068,0.97295,0.89524,0.42226,0.43636,0.75514,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1059.78,0.53981,0.53557,0.97668,0.95222,0.93851,0.97552,0.89478,0.46311,0.43334,0.76166,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,1084.46,0.536,0.53626,0.97672,0.9333,0.93336,0.96556,0.83203,0.68634,0.52223,0.83162,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,1109.28,0.53228,0.53022,0.97416,0.94473,0.94293,0.97366,0.8985,0.42924,0.42417,0.76516,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,1134.15,0.52956,0.52799,0.97669,0.94279,0.95204,0.97866,0.90636,0.39438,0.40546,0.73967,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,1159.02,0.53146,0.53102,0.97524,0.94968,0.9383,0.97534,0.88589,0.49154,0.47071,0.76037,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,1183.78,0.522,0.53469,0.9688,0.95346,0.94601,0.97735,0.90819,0.41901,0.426,0.73718,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,1208.59,0.52207,0.52784,0.97095,0.95202,0.92939,0.97627,0.89732,0.46818,0.42289,0.76849,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,1232.87,0.52603,0.52408,0.97193,0.95562,0.94248,0.9767,0.90205,0.44052,0.41704,0.74615,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,1257.07,0.51881,0.51657,0.97142,0.95784,0.94579,0.97905,0.90706,0.40518,0.40281,0.74264,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,1281.35,0.52277,0.52532,0.97018,0.94964,0.93823,0.97588,0.90249,0.40753,0.41299,0.74558,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,1306.48,0.51702,0.52353,0.96733,0.94845,0.9379,0.97226,0.86904,0.51742,0.45668,0.80173,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,1331.08,0.51673,0.51243,0.97036,0.95878,0.93752,0.97799,0.91512,0.35799,0.41157,0.72826,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,1356.2,0.50624,0.51193,0.96327,0.95598,0.9507,0.98046,0.91675,0.37758,0.38373,0.74062,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,1380.72,0.50411,0.51035,0.96519,0.9603,0.94479,0.98002,0.91567,0.37,0.39067,0.73479,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,1405.09,0.50955,0.51274,0.96856,0.95881,0.94428,0.9809,0.90685,0.44499,0.42247,0.75016,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,1428.82,0.50466,0.51455,0.9631,0.94559,0.93694,0.9707,0.8874,0.46614,0.43406,0.79169,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,1452.99,0.50931,0.51199,0.96361,0.96191,0.94808,0.98222,0.91795,0.39408,0.37428,0.7398,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,1477.41,0.50957,0.51536,0.96695,0.95991,0.94782,0.98134,0.92257,0.39876,0.37748,0.72556,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,1501.22,0.49877,0.50776,0.96007,0.95846,0.94786,0.98071,0.92382,0.36323,0.37699,0.72219,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,1525.61,0.49396,0.50852,0.95932,0.9623,0.95039,0.98248,0.91929,0.36156,0.36711,0.72832,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,1549.29,0.49412,0.51126,0.9625,0.95605,0.95216,0.98156,0.91885,0.3513,0.37919,0.7263,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,1573.89,0.49187,0.50525,0.95943,0.96439,0.94874,0.98269,0.91847,0.35493,0.37545,0.7309,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,1598.14,0.49401,0.50737,0.95778,0.96172,0.94832,0.98177,0.91917,0.36117,0.37266,0.73152,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,1623.28,0.4964,0.5032,0.96198,0.94895,0.95,0.97892,0.91478,0.38886,0.38618,0.74153,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,1647.96,0.48631,0.49883,0.95662,0.958,0.95341,0.9822,0.92457,0.36598,0.384,0.7138,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,1672.54,0.4892,0.50419,0.95852,0.96196,0.95611,0.98483,0.92512,0.3421,0.369,0.71891,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,1697.47,0.47984,0.49464,0.95305,0.96197,0.95,0.98288,0.92691,0.35444,0.37085,0.71976,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,1722.29,0.48414,0.49441,0.95561,0.96602,0.95242,0.98489,0.9308,0.34986,0.35379,0.70669,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,1746.97,0.49042,0.49544,0.95839,0.96672,0.95286,0.98448,0.9303,0.33162,0.35315,0.71058,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,1771.75,0.48006,0.49355,0.95413,0.96044,0.95484,0.98325,0.92071,0.37843,0.37488,0.72648,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,1796.39,0.48214,0.49408,0.95261,0.96661,0.95214,0.985,0.93109,0.32692,0.34093,0.71549,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,1820.7,0.47498,0.48898,0.95061,0.96154,0.9604,0.9854,0.93474,0.32565,0.34752,0.70327,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,1844.84,0.4797,0.48975,0.95247,0.96469,0.9562,0.98493,0.93222,0.33352,0.35105,0.70725,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,1868.77,0.47739,0.48729,0.95264,0.96435,0.95753,0.98415,0.93025,0.32202,0.34337,0.70633,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,1893.44,0.47616,0.48247,0.9515,0.95923,0.95459,0.98356,0.92837,0.37235,0.3666,0.71703,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,1917.97,0.46954,0.48193,0.94715,0.96453,0.95269,0.98349,0.92383,0.38973,0.37481,0.72162,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,1941.9,0.47062,0.48973,0.94798,0.96305,0.95763,0.98394,0.93296,0.30379,0.34955,0.70571,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,1966.15,0.46858,0.48333,0.94939,0.96334,0.95286,0.98297,0.92472,0.37963,0.37256,0.71714,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,1990.79,0.47085,0.48806,0.94938,0.96652,0.95993,0.9857,0.9364,0.33516,0.3451,0.70159,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,2014.6,0.46876,0.4831,0.9475,0.95778,0.96318,0.98441,0.93518,0.29749,0.34072,0.70253,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,2039.36,0.46522,0.47852,0.94788,0.96667,0.95505,0.98573,0.93535,0.29404,0.33512,0.70238,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,2064.07,0.45987,0.48096,0.94385,0.96677,0.9591,0.98614,0.93464,0.34902,0.35173,0.70118,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,2089.78,0.46337,0.48348,0.94673,0.96377,0.96089,0.98596,0.93742,0.31036,0.33004,0.70429,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,2114.22,0.46642,0.48259,0.94936,0.96623,0.96072,0.98559,0.93808,0.29912,0.33163,0.6981,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,2138.65,0.46382,0.48277,0.94627,0.96518,0.96008,0.98594,0.94228,0.27064,0.32795,0.69174,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,2162.46,0.465,0.48039,0.95004,0.96567,0.9583,0.9855,0.93395,0.31304,0.33204,0.70634,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,2186.67,0.45935,0.47789,0.94462,0.96712,0.95606,0.9849,0.93738,0.31508,0.33619,0.70482,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,2211.72,0.46137,0.48025,0.94499,0.96479,0.96138,0.98576,0.94333,0.3037,0.33502,0.69526,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,2235.63,0.44986,0.47867,0.93996,0.96809,0.96208,0.98676,0.94342,0.28233,0.32224,0.69527,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,2259.54,0.45804,0.48666,0.94722,0.96985,0.95922,0.98721,0.94578,0.28651,0.32361,0.68883,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,2283.25,0.4545,0.4803,0.94321,0.96636,0.96047,0.98669,0.94267,0.29678,0.33038,0.69038,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,2307.21,0.45128,0.47248,0.94166,0.96877,0.96142,0.98743,0.94493,0.26335,0.32313,0.69022,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,2331.41,0.45699,0.47604,0.94438,0.96899,0.96656,0.98812,0.94636,0.28067,0.31767,0.68682,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,2355.04,0.44628,0.46254,0.93942,0.96971,0.96174,0.98738,0.94588,0.26704,0.30718,0.68873,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,2378.78,0.44456,0.46307,0.93981,0.96853,0.96596,0.98787,0.94735,0.25806,0.30314,0.68675,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,2402.43,0.45,0.47102,0.94228,0.9682,0.96599,0.9879,0.94882,0.26384,0.30484,0.68437,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,2426.82,0.4453,0.4728,0.9395,0.96909,0.9659,0.98854,0.94841,0.26668,0.29972,0.68507,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,2450.43,0.44758,0.46496,0.94248,0.96695,0.96651,0.98754,0.94712,0.25665,0.30088,0.68864,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,2474.28,0.44893,0.46797,0.94143,0.97032,0.96607,0.98866,0.94852,0.27489,0.30285,0.6854,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,2498.02,0.44205,0.46651,0.93668,0.96648,0.96949,0.9884,0.94831,0.26959,0.3056,0.68804,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,2522.28,0.44071,0.46353,0.93534,0.96742,0.96728,0.98817,0.94612,0.30477,0.31809,0.69264,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,2546.85,0.4449,0.46117,0.93935,0.97047,0.96612,0.98845,0.94976,0.26126,0.2988,0.68919,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,2571.69,0.44222,0.46051,0.93751,0.97275,0.9649,0.98842,0.9497,0.26394,0.29958,0.69094,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,2597.06,0.43962,0.46505,0.93629,0.96837,0.96747,0.98829,0.95149,0.2535,0.3036,0.68784,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,2622.58,0.43684,0.45667,0.93705,0.9691,0.96453,0.98804,0.95073,0.24811,0.3025,0.68448,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,2647.25,0.43851,0.45704,0.93712,0.97036,0.9653,0.98789,0.95107,0.25127,0.29598,0.68614,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,2671.98,0.43583,0.46155,0.93634,0.9697,0.96585,0.98793,0.95026,0.25178,0.29597,0.6865,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,2695.94,0.43494,0.45372,0.93632,0.9699,0.96755,0.98856,0.95176,0.2375,0.28753,0.68362,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,2720.38,0.43798,0.46268,0.93746,0.96907,0.96744,0.98864,0.95261,0.24458,0.29063,0.6821,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
