epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.7042,1.03397,1.99167,1.17721,0.84423,0.80153,0.85112,0.67451,0.90276,1.0515,0.89026,0.00996032,0.00332011,0.00996032,0.00332011,0.00996032,0.00332011,0.00996032,0.00332011
2,51.3646,0.86848,1.0571,1.07404,0.85355,0.88365,0.8969,0.69949,0.83779,0.87523,0.83813,0.0198944,0.00663148,0.0198944,0.00663148,0.0198944,0.00663148,0.0198944,0.00663148
3,76.0567,0.90593,1.0138,1.08858,0.86552,0.87924,0.88338,0.6377,0.97942,0.99587,0.89674,0.0297626,0.00992086,0.0297626,0.00992086,0.0297626,0.00992086,0.0297626,0.00992086
4,98.7432,0.88584,0.95101,1.09106,0.89088,0.89983,0.93709,0.79814,0.67225,0.68996,0.81556,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,119.795,0.82025,0.8621,1.07451,0.85878,0.83115,0.89005,0.71597,0.79604,0.81829,0.82841,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,141.434,0.7949,0.82269,1.07091,0.92461,0.86876,0.93535,0.81056,0.64703,0.64067,0.81009,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,163.299,0.74703,0.78209,1.04868,0.88126,0.83303,0.90905,0.79248,0.57607,0.69256,0.82003,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,186.734,0.72433,0.74385,1.04685,0.91069,0.88987,0.94228,0.83948,0.58686,0.57359,0.77857,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,209.072,0.70849,0.72843,1.03815,0.92844,0.89097,0.95379,0.82124,0.70355,0.55681,0.7907,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,229.84,0.68643,0.71265,1.02726,0.89865,0.85753,0.92906,0.82756,0.59573,0.60407,0.79246,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,251.542,0.67237,0.69566,1.02619,0.92163,0.90704,0.95898,0.86123,0.49074,0.5001,0.76636,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,273.115,0.66079,0.67633,1.02351,0.9076,0.89802,0.95069,0.86114,0.55153,0.50963,0.74629,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,294.711,0.63103,0.66798,1.00962,0.9268,0.90324,0.95746,0.8507,0.57411,0.48136,0.75825,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,316.153,0.6183,0.6443,1.00774,0.89849,0.88114,0.93479,0.83236,0.52309,0.62878,0.7549,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,338.928,0.62085,0.64279,1.01088,0.91642,0.91721,0.9606,0.88049,0.44298,0.44717,0.72851,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,360.293,0.60301,0.63456,1.00526,0.91682,0.91286,0.95851,0.85188,0.49652,0.48403,0.73659,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,381.668,0.60758,0.63843,1.0089,0.92878,0.90784,0.96216,0.87776,0.45018,0.46611,0.73499,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,403.289,0.59125,0.61664,0.99758,0.89866,0.91328,0.948,0.8655,0.46604,0.4911,0.72759,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,424.761,0.58527,0.60825,0.9904,0.93039,0.92148,0.96803,0.89155,0.41131,0.42204,0.71177,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,446.034,0.58228,0.61293,0.9935,0.92521,0.92193,0.9645,0.89078,0.44447,0.45422,0.7144,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,467.368,0.5706,0.60169,0.99244,0.91868,0.91807,0.96389,0.88394,0.45638,0.43885,0.72496,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,489.744,0.56515,0.59208,0.98851,0.93239,0.9168,0.96468,0.85291,0.57562,0.46522,0.75844,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,512.321,0.56002,0.59891,0.9856,0.90744,0.91971,0.95943,0.87585,0.48708,0.45662,0.72346,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,532.021,0.55106,0.5886,0.98312,0.91606,0.91769,0.95836,0.87442,0.44706,0.46832,0.71253,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,551.573,0.54381,0.57639,0.9775,0.92179,0.92458,0.959,0.87852,0.45464,0.435,0.72435,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,570.79,0.54466,0.58105,0.98047,0.90977,0.91144,0.95808,0.85409,0.60089,0.45855,0.74624,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
