epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,178.578,0.63291,0.48804,0.99299,0.93688,0.89085,0.94386,0.76091,0.75341,0.50466,0.82723,0.000990365,0.000990365,0.000990365
43,182.611,0.63492,0.50093,0.99939,0.94809,0.91823,0.9707,0.73369,0.88345,0.4801,0.88332,0.000973861,0.000973861,0.000973861
44,186.577,0.63938,0.5014,0.99941,0.93712,0.8886,0.95539,0.77187,0.67435,0.47261,0.83282,0.000957358,0.000957358,0.000957358
45,190.722,0.63544,0.49554,0.9991,0.91333,0.88299,0.94285,0.71182,0.80917,0.52775,0.88239,0.000940855,0.000940855,0.000940855
46,195.534,0.61041,0.47856,0.98848,0.93571,0.91314,0.96937,0.81418,0.56044,0.4145,0.82149,0.000924352,0.000924352,0.000924352
47,200.328,0.61374,0.48019,0.98752,0.93378,0.90725,0.96353,0.77196,0.68665,0.45816,0.84382,0.000907848,0.000907848,0.000907848
48,204.532,0.6098,0.48097,0.98927,0.91033,0.90764,0.93457,0.78434,0.57381,0.48217,0.81707,0.000891345,0.000891345,0.000891345
49,208.635,0.62513,0.49389,0.98565,0.92282,0.91387,0.96514,0.75527,0.79618,0.47823,0.83487,0.000874842,0.000874842,0.000874842
50,212.718,0.60486,0.47303,0.98108,0.96005,0.89917,0.97545,0.84682,0.5152,0.41013,0.7829,0.000858338,0.000858338,0.000858338
51,216.91,0.60299,0.4795,0.98518,0.89271,0.86243,0.8855,0.68101,0.77851,0.65543,0.88892,0.000841835,0.000841835,0.000841835
52,221.36,0.60033,0.47908,0.98646,0.95092,0.89751,0.96636,0.80524,0.63467,0.46838,0.82611,0.000825332,0.000825332,0.000825332
53,225.604,0.58212,0.46531,0.97507,0.96293,0.88932,0.97314,0.78443,0.70975,0.44131,0.81399,0.000808828,0.000808828,0.000808828
54,229.663,0.59433,0.47922,0.98444,0.9339,0.90299,0.96445,0.79487,0.61383,0.43076,0.81064,0.000792325,0.000792325,0.000792325
55,233.687,0.58181,0.46217,0.97737,0.94697,0.89984,0.95145,0.81334,0.59956,0.46358,0.81361,0.000775822,0.000775822,0.000775822
56,237.809,0.5791,0.46747,0.97607,0.93187,0.91678,0.95892,0.79184,0.63685,0.45791,0.81985,0.000759318,0.000759318,0.000759318
57,241.728,0.56852,0.45439,0.97672,0.9482,0.92907,0.97862,0.78369,0.77654,0.44209,0.82219,0.000742815,0.000742815,0.000742815
58,246.078,0.57883,0.46074,0.97966,0.9455,0.92829,0.97908,0.84255,0.51266,0.38422,0.78055,0.000726312,0.000726312,0.000726312
59,250.422,0.56607,0.43638,0.97602,0.93544,0.92712,0.97477,0.80324,0.66772,0.41319,0.79657,0.000709809,0.000709809,0.000709809
60,254.467,0.57113,0.44764,0.97505,0.93819,0.91037,0.96366,0.74329,0.85466,0.45883,0.84755,0.000693305,0.000693305,0.000693305
61,258.569,0.55509,0.44204,0.97029,0.93727,0.91997,0.97319,0.84127,0.5047,0.3987,0.77483,0.000676802,0.000676802,0.000676802
62,262.499,0.56217,0.43834,0.97345,0.94175,0.92907,0.97657,0.8439,0.53751,0.38886,0.79239,0.000660299,0.000660299,0.000660299
63,266.786,0.54703,0.44346,0.96971,0.95898,0.90187,0.97577,0.84799,0.50682,0.378,0.78145,0.000643795,0.000643795,0.000643795
64,270.962,0.55653,0.441,0.96929,0.9445,0.92479,0.9733,0.86555,0.44644,0.3639,0.76716,0.000627292,0.000627292,0.000627292
65,274.889,0.54821,0.43948,0.97216,0.95756,0.92128,0.9765,0.86065,0.49577,0.37333,0.77141,0.000610789,0.000610789,0.000610789
66,279.015,0.5479,0.42433,0.96857,0.9435,0.91582,0.97007,0.82596,0.57609,0.40053,0.77473,0.000594286,0.000594286,0.000594286
67,283.981,0.54466,0.43526,0.97017,0.95183,0.93531,0.98203,0.81219,0.65303,0.37686,0.78729,0.000577782,0.000577782,0.000577782
68,288.092,0.54231,0.42259,0.96442,0.95056,0.92479,0.97397,0.81133,0.64775,0.40075,0.79922,0.000561279,0.000561279,0.000561279
69,292.176,0.53972,0.4259,0.96516,0.94266,0.93531,0.97871,0.8532,0.49977,0.36249,0.78734,0.000544776,0.000544776,0.000544776
